"brand","model","product_id","temperature_c","estimated_psi","point_status","reference_psi","reference_temperature_c","model_id","confidence","inside_published_operating_range"
"Powair","Premium Quality 116 PSI","powair-116","-4","58.27","estimated_propane_ratio","116","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 116 PSI","powair-116","-3","60.13","estimated_propane_ratio","116","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 116 PSI","powair-116","-2","62.03","estimated_propane_ratio","116","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 116 PSI","powair-116","-1","63.98","estimated_propane_ratio","116","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 116 PSI","powair-116","0","65.97","estimated_propane_ratio","116","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 116 PSI","powair-116","1","68","estimated_propane_ratio","116","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 116 PSI","powair-116","2","70.08","estimated_propane_ratio","116","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 116 PSI","powair-116","3","72.21","estimated_propane_ratio","116","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 116 PSI","powair-116","4","74.38","estimated_propane_ratio","116","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 116 PSI","powair-116","5","76.6","estimated_propane_ratio","116","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 116 PSI","powair-116","6","78.87","estimated_propane_ratio","116","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 116 PSI","powair-116","7","81.19","estimated_propane_ratio","116","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 116 PSI","powair-116","8","83.55","estimated_propane_ratio","116","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 116 PSI","powair-116","9","85.97","estimated_propane_ratio","116","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 116 PSI","powair-116","10","88.44","estimated_propane_ratio","116","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 116 PSI","powair-116","11","90.95","estimated_propane_ratio","116","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 116 PSI","powair-116","12","93.52","estimated_propane_ratio","116","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 116 PSI","powair-116","13","96.14","estimated_propane_ratio","116","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 116 PSI","powair-116","14","98.82","estimated_propane_ratio","116","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 116 PSI","powair-116","15","101.54","estimated_propane_ratio","116","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 116 PSI","powair-116","16","104.33","estimated_propane_ratio","116","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 116 PSI","powair-116","17","107.16","estimated_propane_ratio","116","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 116 PSI","powair-116","18","110.05","estimated_propane_ratio","116","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 116 PSI","powair-116","19","113","estimated_propane_ratio","116","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 116 PSI","powair-116","20","116","manufacturer_or_distributor_anchor","116","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 116 PSI","powair-116","21","119.06","estimated_propane_ratio","116","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 116 PSI","powair-116","22","122.17","estimated_propane_ratio","116","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 116 PSI","powair-116","23","125.35","estimated_propane_ratio","116","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 116 PSI","powair-116","24","128.58","estimated_propane_ratio","116","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 116 PSI","powair-116","25","131.87","estimated_propane_ratio","116","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 116 PSI","powair-116","26","135.22","estimated_propane_ratio","116","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 116 PSI","powair-116","27","138.63","estimated_propane_ratio","116","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 116 PSI","powair-116","28","142.1","estimated_propane_ratio","116","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 116 PSI","powair-116","29","145.63","estimated_propane_ratio","116","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 116 PSI","powair-116","30","149.22","estimated_propane_ratio","116","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 116 PSI","powair-116","31","152.88","estimated_propane_ratio","116","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 116 PSI","powair-116","32","156.59","estimated_propane_ratio","116","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 116 PSI","powair-116","33","160.37","estimated_propane_ratio","116","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 116 PSI","powair-116","34","164.22","estimated_propane_ratio","116","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 116 PSI","powair-116","35","168.13","estimated_propane_ratio","116","20","anchor_scaled_propane_antoine_nist","high",""
